#⃣	Teclas: #|Teclas
*⃣	Teclas: *|Teclas
🧏‍♂	hombre sordo|accesibilidad|escuchar|lenguaje de señas|oído|oír|señas|sordera|sordo
🧐	cara con monóculo|aristócrata|cara|cara con lente|echar un ojo|elegante|lente|luneta circular|revisar
🧑	persona adulta|género neutro
🧑‍⚕	profesional sanitario|doctor|enfermero|médico|salud|terapeuta
🧑‍⚖	fiscal|juez|juicio|magistrado
🧑‍✈	piloto|avión|capitán|vuelo
🧑‍🌾	profesional de la agricultura|agricultor|cultivador|granjero|jardinero|labrador
🧑‍🍳	chef|cocinero|cocinillas|guisandero|pinche
🧑‍🍼	persona alimentando a bebé|alimentar|amamantar|bebé|lactancia|persona
🧑‍🎄	papá noel|Claus|feliz Navidad|fiestas|fiestas de Navidad|gorro de Navidad|Navidad|Noel|Santa
🧑‍🎓	estudiante|graduado|licenciado|universitario
🧑‍🎤	cantante|artista|estrella|rock
🧑‍🎨	artista|paleta|pintor|pinturas
🧑‍🏫	docente|educador|enseñanza|instructor|maestro|profesor
🧑‍🏭	profesional industrial|fábrica|montaje|obrero|operario|trabajador
🧑‍💻	profesional de la tecnología|desarrollador|informático|programador|software|tecnólogo
🧑‍💼	oficinista|arquitecto|director|ejecutivo|empresa
🧑‍🔧	profesional de la mecánica|electricista|fontanero|mecánico|operario|técnico
🧑‍🔬	profesional de la ciencia|biólogo|científico|físico|investigador|químico
🧑‍🚀	astronauta|cohete|espacio
🧑‍🚒	bombero|camión|manguera
🧑‍🤝‍🧑	dos personas de la mano|de la mano|dos personas dándose la mano|mano|pareja|persona|personas que se toman de la mano|tomar la mano
🧑‍🦯	persona con bastón|accesibilidad|ciego|invidente
🧑‍🦯‍➡	persona con bastón: hacia la derecha|accesibilidad|ciego|derecha|hacia|invidente|la|persona con bastón
🧑‍🦰	persona adulta: pelo pelirrojo|género neutro|pelo pelirrojo|persona adulta
🧑‍🦱	persona adulta: pelo rizado|género neutro|pelo rizado|persona adulta
🧑‍🦲	persona adulta: sin pelo|género neutro|persona adulta|sin pelo
🧑‍🦳	persona adulta: pelo blanco|género neutro|pelo blanco|persona adulta
🧑‍🦼	persona en silla de ruedas eléctrica|accesibilidad|silla de ruedas
🧑‍🦼‍➡	persona en silla de ruedas eléctrica: hacia la derecha|accesibilidad|derecha|hacia|la|persona en silla de ruedas eléctrica|silla de ruedas
🧑‍🦽	persona en silla de ruedas manual|accesibilidad|silla de ruedas
🧑‍🦽‍➡	persona en silla de ruedas manual: hacia la derecha|accesibilidad|derecha|hacia|la|persona en silla de ruedas manual|silla de ruedas
🧑‍🧑‍🧒	familia: adulto, adulto, niño|adulto|familia|niño
🧑‍🧑‍🧒‍🧒	familia: adulto, adulto, niño, niño|adulto|familia|niño
🧑‍🧒	familia: adulto, niño|adulto|familia|niño
🧑‍🧒‍🧒	familia: adulto, niño, niño|adulto|familia|niño
🧑‍🩰	bailarina de ballet|bailarina|ballet
🧒	infante|joven|menor|neutral|niñez|persona
🧓	adulto mayor|adulto|género neutro|género no especificado|maduro|mayor|persona mayor
🧔	persona con barba|barba|barba completa|barba con bigote|persona|persona: barba
🧔‍♀	mujer: barba|barba|mujer
🧔‍♂	hombre: barba|barba|hombre
🧕	mujer con hiyab|hiyab|mantilla|mujer con pañuelo en la cabeza|pañoleta|pañuelo|pañuelo en la cabeza
🧖	persona en una sauna|baño de vapor|cuarto de vapor|persona|persona en sauna|relajación|relax|sauna|spa
🧖‍♀	mujer en una sauna|sauna|vapor
🧖‍♂	hombre en una sauna|sauna|vapor
🧗	persona escalando|deporte|escalada|escalando|escalar|montana|montaña|rapel
🧗‍♀	mujer escalando|alpinista|escaladora
🧗‍♂	hombre escalando|alpinista|escalador
🧘	persona en posición de loto|calma|deporte|meditación|posición de loto|relajar|relax|serenidad|yoga
🧘‍♀	mujer en posición de loto|meditación|yoga
🧘‍♂	hombre en posición de loto|meditación|yoga
🧙	persona maga|bruja|brujo|fantasía|hechicera|hechicero|hechizo|juego de rol|magia|sabiduría
🧙‍♀	maga|bruja|hechicera
🧙‍♂	mago|brujo|hechicero
🧚	hada|alas|campanilla|hada madrina|maga|ninfa|titania
🧚‍♀	hada mujer|campanilla|hada|titania
🧚‍♂	hada hombre|hada|oberón|puck
🧛	vampiro|colmillos|Drácula|halloween|miedo|sangre|susto|vampir
🧛‍♀	vampiresa|muerta viviente|no muerta
🧛‍♂	vampiro hombre|drácula|muerto viviente|no muerto
🧜	persona sirena|bajo el mar|cuento|cuento de hadas|fantasía|mar|sirena|sireno|tridente|tritón
🧜‍♀	sirena
🧜‍♂	sireno|sirena|sirena hombre|tritón
🧝	elfo|duende|encanto|fantasía|folclore|legolas|magia|mágico|místico
🧝‍♀	elfa|mágico|mujer
🧝‍♂	elfo hombre|elfo|mágico
🧞	genio|deseos|frotar la lámpara|lámpara|magia|pedir deseos
🧞‍♀	genio mujer|genio|lámpara
🧞‍♂	genio hombre|djinn|genio|lámpara
🧟	zombi|halloween|miedo|muerto viviente|terror|walking dead
🧟‍♀	zombi mujer|caminante|muerta viviente|no muerta
🧟‍♂	zombi hombre|caminante|muerto viviente|no muerto
🧠	cerebro|inteligencia|inteligente|seso|sesos
🧡	corazón naranja|anaranjado|corazón|naranja|tomate
🧢	gorra con visera|cachucha|gorra|gorra de beisbol|gorro|sombrero
🧣	bufanda|abrígate|chalina|cubrecuello|cuello|foulard|frío|fular|pañuelo|pashmina
🧤	guantes|mitón
🧥	abrigo|campera|chamarra|chaqueta|chaquetón|chompa|frío
🧦	calcetines|calceta|calcetón|media|medias|tines
🧧	sobre rojo|buena suerte|China|dinero|hongbao|lai see|obsequio|regalo|suerte
🧨	petardo|boom|chispa|dinamita|explosión|explosivo|fuego|fuegos artificiales|juegos pirotécnicos|luz|pirotecnia|pirotécnicos
🧩	pieza de rompecabezas|conectar|juego|pasatiempo|pieza|pista|puzle|puzzle|rompecabezas
🧪	tubo de ensayo|ciencias|experimento|laboratorio|química|químico|sustancia
🧫	placa de petri|bacteria|bióloga|biólogo|cultivo|laboratorio
🧬	adn|bióloga|biólogo|evolución|gen|genes|genética|vida
🧭	brújula|compás|dirección|magnético|magnetismo|navegación|orientación|punto cardinal
🧮	ábaco|calculadora|cálculo|cálculos|contador|contar|numerador|tabla|tablero
🧯	extintor|apagar|extinguidor|extintor de incendios|fuego|incendio
🧰	caja de herramientas|caja|cajón|herramientas|mecánico
🧱	ladrillo|arcilla|argamasa|ladrillos|mortero|muro|pared
🧲	imán|atracción|forma de u|herradura|magnético|polos|positivo y negativo
🧳	equipaje|empacar|maleta|valija|viajar|viaje
🧴	bote de crema|acondicionador|bloqueador|champú|crema|frasco de loción|humectante|loción|protector solar
🧵	hilo|aguja|bordar|carrete|coser|cuerda|hilar|tejer
🧶	ovillo|bola|bola de estambre|bordar|crochet|estambre|ganchillo|gato|hilo|pelota|tejer|tejido
🧷	imperdible|alfiler|alfiler de gancho|alfiler de seguridad|gacilla|ganchito|gancho nodriza
🧸	osito de peluche|felpudo|juguete|osito|oso|peluche
🧹	escoba|barrer|bruja|limpiar
🧺	cesta|agricultura|canasta|cultivo|lavar ropa|picnic
🧻	rollo de papel|baño|confort|papel de baño|papel higiénico|papel sanitario|papel toilette|toallas de papel
🧼	jabón|bañar|baño|ducha|ducharse|dúchate|espuma|limpiar
🧽	esponja|absorbente|empapado|empapar|escurrir|lavar|limpiar|limpieza|porosa|poroso
🧾	recibo|contabilidad|contador|contaduría|cuenta|escritura|evidencia|factura|prueba|registro
🧿	ojo turco|amuleto|azul|cuenta|mal de ojo|nazar|piedra del mal de ojo|talismán
🩰	zapatillas de ballet|bailar|baile|ballet|danza|zapatillas
🩱	traje de baño de una pieza|bañador|traje de baño
🩲	ropa interior|bañador|bragas|braguitas|calzoncillos|panties|traje de baño
🩳	pantalones cortos|bañador|bermudas|shorts|traje de baño
🩴	chancla|calzado|chancla de dedo|chancleta|chinela|comodidad|ojota|sandalia|verano|zapato
🩵	corazón celeste|amor|azulado|celeste|cian|cielo|corazón|emoción|especial|ternura
🩶	corazón gris|amor|corazón|emoción|especial|gris|metalizado|plateado
🩷	corazón rosa|adorable|amor|corazón|dulce|emoción|especial|rosa|ternura|tierno
🩸	gota de sangre|donación de sangre|donar sangre|gota roja|herida|medicina|menstruación|sangrar|sangre
🩹	tirita|apósito|curita|herida|primeros auxilios
🩺	estetoscopio|doctor|latido|medicina|médico
🩻	radiografía|doctor|doctora|esqueleto|huesos|médico|rayos
🩼	muleta|ayuda|ayuda movilidad|discapacidad|lesión|objeto|palo|pierna coja|rengo
🪀	yoyó|fluctuar|juguete|yoyo
🪁	cometa|juguete|papalote|viento|volar|vuela
🪂	paracaídas|paracaidismo|parapente|volar
🪃	bumerán|Australia|boomerang|búmeran|indígena|juego|lanzar
🪄	varita mágica|abracadabra|hechicera|hechicero|maga|magia|mago|prestidigitación|truco de magia|varita
🪅	piñata|caramelos|celebración|color|diversión|dulces|festejo|fiesta|golosinas|sorpresa
🪆	muñeca rusa|babushka|mamushka|matrioshka|matrioska|recuerdo|rusia|souvenir
🪇	maracas|baile|cha cha|coctelera|fiesta|instrumento|matraca|música|percusión
🪈	flauta|banda|flautín|grabador|instrumento de viento|música|orquesta|pífano
🪉	arpa|amor|angelical|cuerdas|cupido|instrumento|música|orquesta
🪊	trombón|instrumento|jazz|movimiento de la vara|música|triste|viento-metal
🪎	cofre del tesoro|botín|dinero|gemas|joyas|objetos de valor|oro|plata|premio|riqueza
🪏	pala|agujero|cavar|enterrar|excavar|jardín|nieve|palear|plantar
🪐	planeta con anillos|planeta|saturnino|saturno
🪑	silla|asiento|sentarse
🪒	cuchilla de afeitar|afeitado|afeitar|rastrillo|rasurar
🪓	hacha|cortar|dividir|hachuela|leña|madera|talar
🪔	lámpara de aceite|aceite|diya|diyo|lámpara
🪕	banjo|banyo|cuerda|instrumento|música
🪖	casco militar|bélico|casco|ejército|guerra|guerrero|protección|soldado
🪗	acordeón|bandoneón|concertina|fuelle|instrumento musical|música|musical|teclado|viento
🪘	tamboril|conga|instrumento|instrumento musical|música|percursión|ritmo|sonido|tambor|yembé
🪙	moneda|dinero|dólar|euro|metal|oro|plata|riqueza|tesoro
🪚	sierra de carpintería|carpintería|carpintero|cortar|herramienta|serrucho|sierra|talar
🪛	destornillador|arreglar|atornillador|herramienta|plano|tornillo
🪜	escalera|bajar|escalar|escalerilla|escalón|peldaño|subir
🪝	gancho|agarrar|anzuelo|atrapar|garfio|pescar
🪞	espejo|marco|mirarse|reflector|reflejar|reflejo
🪟	ventana|abertura|apertura|cristal|cuadrado|marco|transparente|vista
🪠	desatascador|baño|destapacaños|fontanería|fontanero|herramienta|retrete|servicio|succión
🪡	aguja de coser|aguja|bordado|coser|costura|hilar|hilo|punto|tejer
🪢	nudo|amarrar|anudar|atar|cuerda|enredar|nudo marinero|ocho|trenzar
🪣	cubo|balde|barreño|cuba|cubeta
🪤	trampa de ratones|cebo|cepo|queso|rata|ratón|ratonera|trampa|trampa para ratas|trampa para ratones
🪥	cepillo de dientes|aseo|cepillo|cuidado dental|cuidado oral|dental|higiene|limpio
🪦	lápida|cementerio|DEP|esquela|muerte|QEPD|RIP|tumba
🪧	letrero|anuncio|atención|aviso|cartel|pancarta|poste
🪨	piedra|duro|pedrusco|peña|peñasco|roca|sólido
🪩	bola de espejos|actividades|bailar|bola|disco|diversión|espejo|fiesta
🪪	identificación|carné|carné de conducir|carné de identidad|credencial|documento|ID|licencia|objeto|tarjeta
🪫	batería baja|batería|batería agotada|cansada|cansado|cansancio|energía baja|objeto|pila
🪬	hamsa|actividades|fortuna|jamsa|mano|mano azul|mano con ojo|palma|protección
🪭	abanico abierto|aleteo|aplauso|bailar|calor|coquetear|refrescar|refrigeración|timidez|ventilador
🪮	peineta|afro|cabello|cepillar|peine|recoger
🪯	khanda|Deg|Fateh|fe|Khalsa|Khanda|religión|sijismo|Tegh
🪰	mosca|animal|bicho|insecto|plaga|volar
🪱	gusano|animal|invertebrado|lombriz|lombriz de tierra|parásito
🪲	escarabajo|animal|bicho|coleóptero|verde
🪳	cucaracha|alimaña|animal|bicho|insecto|plaga
🪴	planta de maceta|crecer|decoración|decorar|fotosíntesis|maceta|planta|tiesto|verde
🪵	madera|bosque|hoguera|leña|madero|palos|tronco
🪶	pluma|ave|ligero|pájaro|plumaje
🪷	loto|animales y naturaleza|budismo|calma|flor|flor de loto|hinduismo|lotus|paz|pureza|serenidad|tranquilidad
🪸	coral|animales y naturaleza|arrecife|cambio climático|mar|planta
🪹	nido vacío|anidamiento|anidar|animales y naturaleza|hogar|nido|rama
🪺	nido con huevos|anidamiento|anidar|animales y naturaleza|ave|huevos|nido|pájaro|rama
🪻	jacinto|arbusto|florecer|índigo|lavanda|morado|planta|primavera|violeta
🪼	medusa|acuario|jalea|mar|océano|plancton|tentáculos
🪽	ala|angelical|ascender|aviación|celestial|mitología|volar
🪾	árbol sin hojas|árbol|invierno|madera|muerto|ramas secas|sequía|sin hojas|tronco|yermo
🪿	ganso|animal|ave|manada|oca|pato|rebaño|tonto
🫀	corazón humano|anatómico|cardiología|corazón real|latido|latir|órgano|órgano cardíaco|pulso
🫁	pulmones|aliento|cuerpo humano|exhalación|exhalar|inhalación|inhalar|órgano|respiración|respirar
🫂	personas abrazándose|abrazarse|abrazo|adiós|amistad|amor|despedida|gracias|reencuentro|saludo
🫃	hombre embarazado|barriga|embarazado|hinchado|hinchazón|inflado|lleno
🫄	persona embarazada|barriga|embarazo|gestación|hinchazón
🫅	persona con corona|corona|monarca|monarquía|nobleza|real|realeza
🫆	huella dactilar|delito|detective|forense|huella|huella digital|identidad|misterio|rastro|seguridad
🫈	criatura peluda|bosque|críptido|gigante|hombre de las nieves|peludo|pie grande|yeti
🫍	orca|ballena|mamífero marino
🫎	alce|animal|asta|ciervo canadiense|cuernos|mamífero|uapití
🫏	burro|animal|asno|borrico|mamífero|mula|terco
🫐	arándanos|arándano|azul|baya|comida|fruta|frutos|frutos del bosque|frutos rojos
🫑	pimiento|ají|chile|comida|pimiento morrón|verde|verdura
🫒	aceituna|aceite de oliva|aperitivo|comida|oliva|olivo|snack
🫓	pan sin levadura|aperitivo|arepa|comida|pan|pan plano|pita|tortilla
🫔	tamal|comida|mexicana
🫕	fondue|chocolate|cocinar|comida|fuego|olla|queso|suizo
🫖	tetera|bebida|comida|desayuno|hora del té|infusión|juego de té|merienda|pava|té
🫗	líquido que se vierte|bebida|derramar|líquido derramándose|vacío|vaso|verter
🫘	frijoles|alubias|comida|habichuela roja|habichuelas|judías|legumbre|porotos
🫙	jarra|almacenar|condimento|frasco|recipiente|salsa|tarro|vacío
🫚	raíz de jengibre|cerveza|especia|hierba|jengibre|natural|raíz|salud
🫛	vaina|edamame|guisante|judía|legumbre|porotos|soja|vegetal
🫜	tubérculo|cocina vegetariana|comida|ensalada|huerto|nabo|rábano|raíz|remolacha|vegetales|verdura
🫟	salpicadura|derrame|goteo|holi|Krishna|lío|líquido|mancha|pintura|tinta
🫠	cara derritiéndose|calor|cara avergonzada|cara que se derrite|derretirse|desaparecer|emoticones y emociones|sarcasmo|sarcástico|sonrisa|vergüenza
🫡	cara saludando|buena suerte|ejército|emoticones y emociones|ok|orden|respeto|saludo|sí|sí señor|sí señora
🫢	cara con ojos abiertos y boca tapada|asombro|cállate|cara con los ojos abiertos y la mano sobre la boca|discreto|no lo puedo creer|omg|secreto|shock|sorpresa|vergüenza
🫣	cara tapada con ojo espiando|cara escondida|cara sonrojada|cara tapada|emoticones y emociones|espiando|espiar|mirar|temor|vergüenza
🫤	cara con boca diagonal|cara confundida|como sea|confusión|decepción|emoticones y emociones|en duda|frustración|inseguro|no entiendo|sin expresión
🫥	cara con línea de puntos|cara escondida|como sea|depresión|emoticones y emociones|introvertido|invisible|sin expresión
🫦	labio mordido|ansiedad|beso|coqueteo|labio|lápiz labial|morder|nervios|personas y cuerpos|preocupación|sexi
🫧	burbujas|bajo el agua|baño|burbuja|espuma|flotar|jabón|objeto|perla
🫨	cara que vibra|aturdimiento|cara|locura|mareo|pánico|shock|sorpresa|temblando|terremoto
🫩	cara con ojeras|agotamiento|cansado|cansancio|cara|cara cansada|dormí mal|falta de sueño|no dormí|sueño
🫪	cara de susto|ansiedad|pánico|shock|sorpresa|susto|vulnerabilidad
🫯	nube de pelea|bronca|debate|desacuerdo|forcejeo|gresca|pelea|trifulca
🫰	mano con dedo índice y pulgar cruzados|amor|caro|chasquido|corazón|dinero|gasto|mano|personas y cuerpos
🫱	mano hacia la derecha|apretón de manos|dar la mano|mano|mano derecha|sacudir|sacudón de manos|sostener
🫲	mano hacia la izquierda|apretón de manos|dar la mano|mano|mano izquierda|sacudir|sacudón de manos|sostener
🫳	mano con la palma hacia abajo|dejar caer|descartar|levantar|mano|tirar
🫴	mano con la palma hacia arriba|acércate|dame|ofrecer|trae|ven
🫵	dedo índice apuntándote a ti|apuntar|dedo|dirigir|mano|personas y cuerpos|pinchar|señalar|tú
🫶	corazón con las manos|amor|corazón|manos|manos formando un corazón|te amo
🫷	mano empujando hacia la izquierda|a la izquierda|choca esos cinco|detener|empujar|rechazar|stop
🫸	mano empujando hacia la derecha|a la derecha|choca esos cinco|detener|empujar|rechazar|stop
